pliegue,recall_1,auc,modelo
1,0.55,0.5142197125256673,Dummy (baseline)
2,0.5482142857142858,0.5123001613376357,Dummy (baseline)
3,0.5438282647584973,0.5080537627693924,Dummy (baseline)
4,0.6028622540250447,0.5714516608934259,Dummy (baseline)
5,0.5313059033989267,0.4946057237733853,Dummy (baseline)
6,0.5232142857142857,0.48588697824808935,Dummy (baseline)
7,0.5375,0.5012602880658437,Dummy (baseline)
8,0.5446428571428571,0.5089469429747208,Dummy (baseline)
9,0.525,0.4878086419753086,Dummy (baseline)
10,0.5410714285714285,0.5051036155202822,Dummy (baseline)
1,0.6821428571428572,0.700143003813435,Logistica
2,0.7357142857142858,0.7213002346729246,Logistica
3,0.7030411449016101,0.6942765939470967,Logistica
4,0.7245080500894454,0.7105016658524131,Logistica
5,0.7262969588550984,0.7265467448839781,Logistica
6,0.7214285714285714,0.6990887713109935,Logistica
7,0.7214285714285714,0.7113683127572017,Logistica
8,0.7107142857142857,0.7254445914168136,Logistica
9,0.7196428571428571,0.720298721340388,Logistica
10,0.7071428571428572,0.6950654027042915,Logistica
1,0.6053571428571428,0.6366878116749779,KNN
2,0.7071428571428572,0.6335563948371956,KNN
3,0.6332737030411449,0.6301366843843325,KNN
4,0.6976744186046512,0.6759907873035231,KNN
5,0.7155635062611807,0.683991286875581,KNN
6,0.6517857142857143,0.6324588477366254,KNN
7,0.6732142857142858,0.6334968400940625,KNN
8,0.6964285714285714,0.68383120223398,KNN
9,0.6803571428571429,0.6848287771898883,KNN
10,0.6892857142857143,0.641633597883598,KNN
1,0.7285714285714285,0.6865979759460251,Ridge
2,0.7428571428571429,0.6937334995599882,Ridge
3,0.7352415026833632,0.6898208519907579,Ridge
4,0.7638640429338104,0.7013440692348099,Ridge
5,0.7477638640429338,0.7071589410541705,Ridge
6,0.7196428571428571,0.6741512345679013,Ridge
7,0.7517857142857143,0.6773001175778954,Ridge
8,0.7160714285714286,0.7056033215755438,Ridge
9,0.7178571428571429,0.69931841563786,Ridge
10,0.7339285714285714,0.6748273074661963,Ridge
1,0.7035714285714286,0.6833125550014667,Lasso
2,0.7625,0.7043102816075095,Lasso
3,0.7173524150268337,0.6837617041284487,Lasso
4,0.7423971377459749,0.699849026385486,Lasso
5,0.7370304114490162,0.7096053748076097,Lasso
6,0.7392857142857143,0.6864748677248677,Lasso
7,0.7214285714285714,0.6834858171663727,Lasso
8,0.7178571428571429,0.6956000146972369,Lasso
9,0.7107142857142857,0.7034850823045268,Lasso
10,0.7178571428571429,0.6789498824221046,Lasso
1,0.7678571428571429,0.7014850396010561,Random Forest
2,0.8089285714285714,0.7140437078322088,Random Forest
3,0.774597495527728,0.6904416437390029,Random Forest
4,0.7978533094812165,0.7259186064878247,Random Forest
5,0.813953488372093,0.7303302685567142,Random Forest
6,0.7803571428571429,0.7067901234567902,Random Forest
7,0.7839285714285714,0.7101521164021164,Random Forest
8,0.7928571428571428,0.7368422986478542,Random Forest
9,0.7803571428571429,0.7214267342739564,Random Forest
10,0.7964285714285714,0.700701793062904,Random Forest
1,0.6732142857142858,0.7057971545907892,XGBoost
2,0.7357142857142858,0.7246846582575536,XGBoost
3,0.6618962432915921,0.6948312658641679,XGBoost
4,0.6833631484794276,0.7307747407551619,XGBoost
5,0.6994633273703041,0.7289858319895091,XGBoost
6,0.6910714285714286,0.7204071134626691,XGBoost
7,0.6892857142857143,0.7145833333333333,XGBoost
8,0.6982142857142857,0.7428865373309818,XGBoost
9,0.6928571428571428,0.7176642416225749,XGBoost
10,0.7125,0.6951278659611992,XGBoost
